Durak Adı,İlçe
ALTINŞEHİR İÖO,Küçükçekmece
KURUÇEŞME,Küçükçekmece
ALCAN SOKAK,Avcılar
SERİNYAYLA,Güngören
İSTANBUL CADDESİ,Küçükçekmece
YARIMBURGAZ,Küçükçekmece
SERALAR,Küçükçekmece
SAN-BİR 2,Büyükçekmece
ZÜBEYDE HANIM AİHL,Pendik
İSTOÇ METRO,Bağcılar
BÜYÜKÇEKMECE LİSESİ,Büyükçekmece
HÜRRİYET MAHALLESİ,Bahçelievler
SSK OSMANİYE,Bakırköy
EMEK SİTELERİ,Küçükçekmece
ASLAN SOKAK,Küçükçekmece
MUAMMER AKSOY CAD.,Küçükçekmece
KİPTAŞ ESENYURT,Esenyurt
UĞURLU SOKAK,Küçükçekmece
AŞIK VEYSEL CADDESİ,Küçükçekmece
1.ETAP KONUTLARI,Küçükçekmece
YENİ ÇAMLICA,Ataşehir
YENİ ÇAMLICA,Ataşehir
FERHATPAŞA MEYDANI,Ataşehir
KEMALPAŞA,Ataşehir
İ.M.E.S.,Ümraniye
İ.M.E.S.,Ümraniye
MODOKO,Ümraniye
MODOKO,Ümraniye
YUKARI DUDULLU,Ümraniye
DUDULLU,Ümraniye
DUDULLU,Ümraniye
İETT LOJMANLARI,Ataşehir
İETT GARAJI,Ataşehir
KAYIŞDAĞI İLKOKULU,Ataşehir
KAYIŞDAĞI YOLU,Ataşehir
ESENYURT,Esenyurt
ESENYURT,Esenyurt
PTT,Beylikdüzü
ELMAS SİTESİ,Başakşehir
AKİK SİTESİ,Başakşehir
AKİK SİTESİ,Başakşehir
OLTU SİTESİ,Başakşehir
OLTU SİTESİ,Başakşehir
DUMANLI SOKAK,Ataşehir
PENDİK FEN İŞLERİ,Pendik
PENDİK FEN İŞLERİ,Pendik
HUKUKÇULAR SİTESİ,Pendik
Ş.MURAT ÇELİK PARKI,Pendik
Ş.MURAT ÇELİK PARKI,Pendik
Dudullu Cad.-Atapark Cad. Kesişimi (2 Araç),Ataşehir
Küçükyalı Kavşağı/Sanayi Caddesi (10 Araç),Maltepe
Yenisahra Münin Deresi Sk. (1 Araç),Kadıköy
Uzunçayır Durak Alanı  (2 Araç),Kadıköy
Bilinmeyen,Bağcılar
Bilinmeyen,Bağcılar
Hoca Ahmet Yesevi durak alanı,Bağcılar
General Şükrü Kanatlı Caddesi (2 Araç),Bakırköy
Sarıyer Şehit Mithat Yılmaz Caddesi,Sarıyer
Eski Londra Asfaltı (YTÜ Davutpaşa Kampüsü Üst Geçit Altı)(Ring),Zeytinburnu
Vadistanbul Evleri,Sarıyer
KAVAKLI DERE,Gaziosmanpaşa
BAĞLAR SOKAK,Gaziosmanpaşa
GOP HASTANESİ,Gaziosmanpaşa
KİPTAŞ KONUTLARI,Arnavutköy
SİLAHTARAĞA İÖO,Eyüpsultan
SİLAHTARAĞA İÖO,Eyüpsultan
KARADENİZ CADDESİ,Eyüpsultan
ŞEHNAZ CADDESİ,Gaziosmanpaşa
ŞEHNAZ CADDESİ,Gaziosmanpaşa
PAZARİÇİ,Gaziosmanpaşa
PAZARİÇİ,Gaziosmanpaşa
CEMAL GÜRSEL CADDESİ,Pendik
MESLEK LİSESİ,Pendik
MESLEK LİSESİ,Pendik
KARTAL STADI,Kartal
KÜLTÜR ÜNİVERSİTESİ,Bakırköy
KULELİ,Bakırköy
KÜÇÜKÇEKMECE METROBÜ,Küçükçekmece
BAŞAKŞEHİR 5.ETAP,Başakşehir
BAŞAKŞEHİR 5.ETAP,Başakşehir
OSMANLI CADDESİ,Beylikdüzü
F.S.MEHMET CADDESİ,Beylikdüzü
BOĞAZKÖY EVLERİ,Başakşehir
IŞIK SİTESİ,Büyükçekmece
IŞIK SİTESİ,Büyükçekmece
YALIKENT,Silivri
YALIKENT,Silivri
HAVAALANI YOLU,Çatalca
MODERN SOKAK,Büyükçekmece
ÇARMIKLI CADDESİ,Büyükçekmece
SAHİL SİTE VİLLALARI,Büyükçekmece
SAHİL SİTE VİLLALARI,Büyükçekmece
GÜZELCE VİLLALARI,Büyükçekmece
ARA.SOK.,Bahçelievler
EROL KÜLTÜR MERKEZİ,Tuzla
F.S.MEHMET CADDESİ,Pendik
MEVLANA CADDESİ,Pendik
MERKEZ KAYAŞEHİR,Başakşehir
MERKEZ KAYAŞEHİR,Başakşehir
ZÜMRÜT SİTESİ,Başakşehir
OPAL SİTESİ,Başakşehir
OPAL SİTESİ,Başakşehir
MENEKŞE SİTESİ,Pendik
KÜRE SOKAK,Sultanbeyli
MERMERCİLER SAN. SİT,Tuzla
KİMYACILAR SAN. SİTE,Tuzla
KİMYACILAR SAN. SİTE,Tuzla
BOYA VERNİK SANAYİİ,Tuzla
6. SOKAK,Tuzla
PTT MERKEZİ,Tuzla
PTT MERKEZİ,Tuzla
SAĞLIK MERKEZİ,Tuzla
HAMZA YERLİKAYA,Kadıköy
VATAN CADDESİ,Çekmeköy
KOŞUYOLU KÖPRÜSÜ,Kadıköy
KOŞUYOLU KÖPRÜSÜ,Kadıköy
NUMUNE HASTANESİ,Üsküdar
ACIBADEM KÖPRÜSÜ,Kadıköy
ACIBADEM METRO İST.,Kadıköy
ACIBADEM METRO İST.,Kadıköy
UZUNÇAYIR METROBÜS,Kadıköy
UZUNÇAYIR METROBÜS,Kadıköy
ERSAN SOKAK,Ümraniye
SELÇUKLU SK.,Ümraniye
ERZURUM CAD.,Ümraniye
DEREBOYU CAD.,Ümraniye
EZBER CAD.,Ümraniye
ASİL CD.,Ümraniye
KÖPRÜBAŞI SK.,Ümraniye
Hızır Efendi Caddesi,Gaziosmanpaşa
KANDIRA YOLU,Şile
ŞİLE KADIKÖY CADDESİ,Şile
KANDIRA YOLU,Şile
KADIKÖY,Şile
ÇELEBİKÖY,Şile
BUCAKLI,Şile
GÖÇE SAPAĞI,Şile
YENİKÖY,Şile
Mavera Cad.,Ümraniye
İMRENLİ KOYU,Şile
GAZEL SOKAK,Üsküdar
İMAMKÖY SAPAĞI,Şile
TEV ZAHİDE ZEHRA GARRİNG ORTAOKULU,Ümraniye
Alemdağ Yan Yolu,Üsküdar
KABAKOZ MERKEZ,Şile
İMRENLİ KÖYÜ,Şile
KAZIM KARABEKİR SK.,Şile
AKÇAKESE KÖYÜ,Şile
KARACAKÖY,Şile
BOZGOCA KÖYÜ,Şile
İMRENDERE,Şile
YAKUT SİTESİ,Başakşehir
K.ŞEHİR SAĞLIK OCAĞI,Başakşehir
SAFİR SİTESİ,Başakşehir
SAFİR SİTESİ,Başakşehir
16.BÖLGE,Başakşehir
SİLİVRİ PARK,Silivri
MALATYA PAZARI,Büyükçekmece
MEVLANA CAD.,Arnavutköy
MİMARSİNAN CAD.,Beylikdüzü
BEYKENT- SON DURAK,Beylikdüzü
ATLI ZİNCİR,Zeytinburnu
AVC.METROBÜS142-145A,Avcılar
DANAMANDIRA,Silivri
YAZLIKKÖY,Çatalca
YEŞİLBAYIR KÖY İÇİ,Arnavutköy
YEŞİLBAYIR YOLU,Arnavutköy
KARAAĞAÇ KÖYÜ,Büyükçekmece
FATİH CADDESİ,Bağcılar
ATATÜRK CADDESİ,Bağcılar
42 EVLER,Bağcılar
42 EVLER,Bağcılar
MEHMET AKİF ERSOY CD,Esenler
BİRLİK MAHALLESİ,Esenler
KAZIM KARABEKİR MAH.,Esenler
YENİHAL,Bayrampaşa
OTOGAR YOLU,Bayrampaşa
OTOGAR YOLU,Esenler
ZİYA GÖKALP,Başakşehir
ZİYA GÖKALP,Başakşehir
ELEKTRİK KURUMU,Başakşehir
İMSAN SANAYİ SİTESİ,Küçükçekmece
İMSAN SANAYİ SİTESİ,Küçükçekmece
İMSAN SANAYİ SİTESİ,Küçükçekmece
İKİTELLİ GARAJI,Küçükçekmece
SİYAVUŞPAŞA CADDESİ,Bahçelievler
ÜÇYÜZLÜ METRO,Bağcılar
MAHMUTBEY CADDESİ,Bahçelievler
BÜYÜKÇEKMECE,Büyükçekmece
MİMAR SİNAN,Büyükçekmece
R.YAZICIOĞLU KAVŞAĞI,Bahçelievler
KARDELEN EVLERİ,Başakşehir
İSTOÇ 19.ADA,Bağcılar
BEŞEVLER,Büyükçekmece
KIZILAY,Maltepe
EBABİL SOKAK,Sultanbeyli
EBABİL SOKAK,Sultanbeyli
DİKİM EVİ,Maltepe
DİKİM EVİ,Maltepe
VELİBABA SAPAĞI,Pendik
VELİBABA SAPAĞI,Pendik
BÜLBÜL SOKAK,Pendik
DURSUNBEY CADDESİ,Ataşehir
ÇİÇEKLİ,Sultanbeyli
SÜLÜN SOKAK,Maltepe
KIBRIS ŞEHİTL. CAMİİ,Kartal
ERGENEKON İÖO,Pendik
EMRE SOKAK,Pendik
EMRE SOKAK,Pendik
KUZEY YANYOL,Pendik
KUZEY YANYOL,Pendik
DÖRTYOL,Kadıköy
DÖRTYOL,Kadıköy
İKBALİYE,Kadıköy
İKBALİYE,Kadıköy
KARTAL POLİKLİNİKLER,Kartal
OLGUN SOKAK,Sultanbeyli
YONCA SOKAK,Sultanbeyli
NECİP FAZIL CD.,Sultanbeyli
NAZMİ SOKAK,Sultanbeyli
AKBABA CAD.,Beykoz
AVİZE FABRİKASI,Beykoz
KARAKULAK CAD.,Beykoz
BAŞIBÜYÜK MAHALLESİ,Maltepe
SANAYİİ,Kartal
AYDOS YOLU,Kartal
MERMER FABRİKASI,Kartal
MERMER FABRİKASI,Kartal
BULVAR,Kartal
BULVAR,Kartal
UĞUR MUMCU SİTESİ,Kartal
UĞUR MUMCU SİTESİ,Kartal
M.KARAŞAHİN İ.Ö.O,Sancaktepe
MENEKŞE SAĞLIK OCAĞI,Sultanbeyli
BAŞIBÜYÜK YOLU,Maltepe
ÜNİVERSİTE YOLU,Ataşehir
Y.TEPE ÜNV.ALT KAPI,Ataşehir
PARK,Maltepe
TEPEBAŞI CAMİ,Pendik
ELMALIKENT,Ümraniye
ELMALIKENT,Ümraniye
UZUNÇAYIR,Üsküdar
BEYLİKDÜZÜ BELEDİYE,Esenyurt
EKREM  CEVAHİR İ.Ö.O.,Kağıthane
ACIBADEM KÖPRÜSÜ,Kadıköy
SPOR TESİSLERİ,Sarıyer
FABRİKALAR,Ümraniye
GÖKSU EVLERİ,Beykoz
GÖKSU EVLERİ,Beykoz
MİHRABAT CADDESİ,Beykoz
VALİDEBAĞ SANATORYUM,Kadıköy
M.KARUŞAĞI İÖO,Pendik
SEYİTGAZİ SOKAK,Sultanbeyli
KARDEŞ SOKAK,Sultanbeyli
İSTASYON YOLU,Maltepe
KÖROĞLU CADDESİ,Çekmeköy
KAYNARCA PARKI,Pendik
TALEBE YURDU,Pendik
KAYNARCA ALT GEÇİT,Pendik
KAYNARCA ALT GEÇİT,Pendik
KAYNARCA ALT GEÇİT,Pendik
KIBRIS SOKAK,Pendik
FATİH CAMİ,Pendik
AHMET YESEVİ,Pendik
KAYNARCA,Pendik
KAYNARCA,Pendik
TAŞLIBAYIR,Pendik
BAKÜ CADDESİ,Pendik
BAKÜ CADDESİ,Pendik
GÜL SOKAK,Ataşehir
VATAN SOKAK,Ataşehir
M.USLU CAMİİ,Ataşehir
GÖZTEPE KÖPRÜSÜ,Kadıköy
YENİSAHRA,Ataşehir
YENİSAHRA,Kadıköy
YÜZBEŞEVLER,Ataşehir
BEYAZ EVLER,Ataşehir
BEYAZ EVLER,Kadıköy
BEYAZ EVLER,Ataşehir
BEYAZ EVLER,Kadıköy
FSM HASTANESİ,Ataşehir
FSM HASTANESİ,Ataşehir
ALTINTEPE,Maltepe
ALTINTEPE,Maltepe
KADİR HAS LİSESİ,Maltepe
KARAYOLLARI,Maltepe
KARAYOLLARI,Maltepe
BELEDİYE,
BALCIBAĞI,Sarıyer
SAHRAYICEDİT CAMİİ,Kadıköy
BAHÇEKÖY YOLU,Sarıyer
ZEKERİYAKÖY YOLU,Sarıyer
GAZİNOLAR,Sarıyer
ADLİYE,Sultanbeyli
YOL BAKIM,Maltepe
TEPEÜSTÜ,Üsküdar
TEPEÜSTÜ,Üsküdar
GÜNEŞ SK.,Üsküdar
G.34,Ataşehir
G.69,Ataşehir
ATATÜRK BULVARI,Ataşehir
ATATÜRK BULVARI,Ataşehir
ŞHT.A.YAŞAR GÜNAYDIN,Pendik
ALEMDAR,Çekmeköy
ÜSKÜDAR ZABITA MDR.,Üsküdar
ÜSKÜDAR ZABITA MDR.,Üsküdar
İSTİKBAL SOKAK,Ümraniye
GENÇTÜRK SOKAK,Ümraniye
YALNIZ SELVİ CADDESİ,Kartal
MENEKŞE SOKAK,Maltepe
EKŞİOĞLU MAHALLESİ,Çekmeköy
ZEYNEP KAMİL HST.,Üsküdar
ZEYNEP KAMİL HST.,Üsküdar
ASKERLİK ŞUBESİ,Üsküdar
PAZARBAŞI,Üsküdar
ATAKENT,Ümraniye
ATAKENT,Ümraniye
KARLITEPE,Kartal
BİNGÖL SİTESİ,Tuzla
ŞEKER SOKAK,Tuzla
ANAKENT KOLEJİ,Kadıköy
MERDİVENKÖY,Kadıköy
GÖZCÜBABA LİSESİ,Kadıköy
GÖZTEPE KÖPRÜSÜ 1,Kadıköy
CEVİZLİ LİSESİ,Kartal
BALKAN CADDESİ,Ümraniye
GÜLENSU MAHALLESİ,Maltepe
ÇIKMAZ SOKAK,Maltepe
TRAFO CAD.,Maltepe
MARTI SOKAK,Tuzla
CAN SOKAK,Sancaktepe
YAKACIK YOLU,Kartal
TOPRAK SK.,Ümraniye
NAR SOKAK,Pendik
GÜLLÜBAĞLAR,Pendik
BALABAN,Pendik
ÇAMÇEŞME,Pendik
EMNİYET SOKAK,Pendik
DERE,Pendik
KÜLLİYE CADDESİ,Sancaktepe
TURGUT ÖZAL CADDESİ,Sancaktepe
EBUBEKİR CADDESİ,Sancaktepe
CUMHURİYET CADDESİ,Şile
AHMETLİ KÖY SAPAĞI,Şile
AHMETLİ GİRİŞİ,Şile
KARAMANDERE KÖYÜ SAP,Şile
Vatan Cad.,Ümraniye
SELAM SK.,Ümraniye
M.AKİF CADDESİ,Bağcılar
M.AKİF CADDESİ,Bağcılar
YUNUS EMRE KÖPRÜSÜ,Bağcılar
MOLLAGÜRANİPARKI,Bağcılar
MOLLA GÜRANİ PARKI,Bağcılar
ÖZŞAH GEÇİTİ,Bahçelievler
ÖZŞAH GEÇİTİ,Bağcılar
MEVLANA CAD,Bahçelievler
YOLUÇ CADDESİ,Avcılar
DÖKÜMCÜLER SİTESİ,Başakşehir
ATIŞALANI LİSESİ,Esenler
BİRLİK CADDESİ,Esenyurt
TEM YOLU,Başakşehir
ÖRNEKTEPE YOLU,Kağıthane
ESERLER,Beyoğlu
NARİN KÖPRÜSÜ,Sarıyer
DUMLUPINAR OKULU,Sarıyer
MEHMETÇİK SOKAK,Avcılar
Hamam Caddesi,Gaziosmanpaşa
Çay Sokak,Gaziosmanpaşa
Sarıgöl Cami,Gaziosmanpaşa
Mehmet R. EVYAP Lisesi,Sarıyer
Giyimkent Cad.,Esenler
Giyimkent Cad.,Esenler
Cansever Sk.,Şile
Abdül Hamit Cad.,Şile
Göksu Cad.,Şile
Tarım Sk.,Şile
Aksöğüt Sk.,Şile
Sortullu Sk.,Şile
Esentepe Cad.,Şile
Yazımanayır Cad.,Şile
Sakarya Cad.,Esenler
Şehit Cengiz Karcıoğlu Cad.,Esenler
İstanbul Cad.,Esenler
İstanbul Cad.,Esenler
Esenler Cad.,Bayrampaşa
Cumhuriyet Cad.,Beykoz
Çavuşbaşı Cumhuriyet Cad.,Beykoz
Edebali Cad.,Beykoz
Edebali Cad.,Beykoz
Mevlana Cad.,Beykoz
Okul Cad.,Beykoz
Dr.Ömer Besim Paşa Cad.,Beykoz
Necmettin Erbakan Cad.,Pendik
14. Sk.,Bağcılar
Fabrika Yanı Sk.,Beykoz
Şehit Mehmet Ali Şener Cad.,Beykoz
Ayvalıdere Sk.,Beykoz
Necip Fazıl Bulvarı,Ümraniye
Alemdağ Cad.,Ümraniye
Cüda Gazi Gülbaba Sk.,Ümraniye
Fatih Cad.,Bağcılar
Tepe,Esenler
Cengiz Topel Cad.,Esenler
Mehmet Akif İnan Cad.,Esenler
Barbaros Cad.,Bağcılar
Necip Fazıl Bulvarı,Ümraniye
Prof. Dr. Necmettin Erbakan Cad.,Ataşehir
Prof. Dr. Ali Nihat Tarlan Cad.,Kadıköy
Kayışdağı Cad.,Ataşehir
Kayışdağı Cad.,Ataşehir
P.KUTMAN İ.Ö.OKL.,Sancaktepe
PETROLYOLU CAD.,Ümraniye
ADLİYE,Sultanbeyli
KILIÇ REİS,Ataşehir
DÖRTYOL,Ümraniye
KURAN KURSU,Ümraniye
KİPTAŞ KONUTLARI,Pendik
ÇİÇEK DAĞI,Pendik
ÇİÇEK DAĞI,Pendik
PTT SANTRAL,Pendik
PTT SANTRAL,Pendik
AYDOS CADDESİ,Pendik
AYDOS CADDESİ,Pendik
ÜÇ YOL AGZI,Pendik
BATTALGAZİ CAMİ,Pendik
BATTALGAZİ,Pendik
PİRİ REİS,Pendik
F.GÖZEN ERALP İÖO.,Pendik
F.GÖZEN ERALP İÖO,Pendik
SAĞLAM SİTESİ,Pendik
SAĞLAM SİTESİ,Pendik
HARMANDERE,Pendik
HARMANDERE,Pendik
KARAYOLLARI,Pendik
PAZAR YERİ,Sancaktepe
EBRU SOKAK,Sancaktepe
EBRU SOKAK,Sancaktepe
DERE YOLU,Sancaktepe
MİMARSİNAN BULVARI,Sancaktepe
MİMARSİNAN BULVARI,Sancaktepe
ÇAMLIKTEPE,Sancaktepe
DÖRTYOL,Sancaktepe
DÖRTYOL,Sancaktepe
VİLLALAR,Sancaktepe
FABRİKALAR,Sancaktepe
FABRİKALAR,Sancaktepe
YENİDOĞAN,Sancaktepe
YENİDOĞAN,Sancaktepe
ÜSKÜDAR CADDESİ,Şile
YENİDOĞAN ÜSTGEÇİT,Çekmeköy
ŞEHİT ÇAĞLAR MENGÜ,Kadıköy
ÜMRANİYE DEVLET HAST,Ümraniye
ÜMRANİYE DEVLET HAST,Ümraniye
GÜMRÜK ÜST KAPI,Ataşehir
METROBÜS ACIBADEM,Üsküdar
GAZİ CADDESİ,Esenler
YILMAZ SOKAK,Güngören
HALKALI POLİS MERKEZ,Küçükçekmece
ORUÇ REİS MAH,Esenler
TÜTÜN SOKAK,Avcılar
İMAMI AZAM CAMİİ,Pendik
İMAMI AZAM CAMİİ,Pendik
FERAH CADDESİ,Sultanbeyli
YELKEN SOKAK,Tuzla
F.S.M. HASTANESİ,Kadıköy
KOZYATAĞI,Kadıköy
KOZYATAĞI,Kadıköy
ESKİ KÖŞKLER,Kadıköy
RUH SAĞLIĞI HST.,Kadıköy
RUH SAĞLIĞI HST.,Kadıköy
BAYAR CADDESİ,Kadıköy
BÖCEKLİ CAMİİ,Kadıköy
BÖCEKLİ CAMİİ,Kadıköy
ULAŞTIR SOKAK,Kadıköy
ÇINAR ALTI,Kadıköy
YELKENLİ DEĞİRMEN,Kadıköy
OKUL ÜSTÜ,Sarıyer
ŞEN SOKAK,Sarıyer
SARIKIZ,Sarıyer
KOCATAŞ K.PINAR CAD.,Sarıyer
ÇAMLIBAHÇE,Sarıyer
KOCATAŞ (TEPE),Sarıyer
Z.KUYU-METROBÜS 2,Şişli
İSTİNYE MERKEZ,Sarıyer
GÖNÜL SOKAK,Tuzla
ÇEŞME CADDESİ,Tuzla
ÇEŞME CADDESİ,Tuzla
MALAZGİRT CAD.,Tuzla
ORHANLI MERKEZ,Tuzla
TEPEÖREN DÖRTYOL,Tuzla
TEPEÖREN DÖRTYOL,Tuzla
60.YIL S.GAZİ İLK ÖĞ,Sancaktepe
ÇENGELDERE SAPAĞI,Beykoz
YEŞİL SOKAK,Ümraniye
DEVA SOKAK,Sancaktepe
DEVA SOKAK,Sancaktepe
TURAN SOKAK,Sancaktepe
Cüda Gazi Gülbaba Sk.,Ümraniye
Bostancı,Kadıköy
Necip Fazıl Bulvarı,Ataşehir
Yalçınlar Sk.,Beykoz
1.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
6.Yol Sk.,Tuzla
6.Yol Sk.,Tuzla
12.Yol Sk.,Tuzla
12.Yol Sk.,Tuzla
12.Yol Sk.,Tuzla
12.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
9.Yol Sk.,Tuzla
9.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
1.Yol Sk.,Tuzla
YEDİTEPE ÜNİV.KAMPÜS,Ataşehir
YEDİTEPE ÜNİV.KAMPÜS,Ataşehir
BİRİNCİ SOKAK(11E),Üsküdar
YAVUZSELİM,Ataşehir
YAVUZSELİM,Ataşehir
SİTELER GİRİŞİ,Ataşehir
MUSTAFA KANAT CAMİİ,Ataşehir
MUSTAFA KANAT CAMİİ,Ataşehir
ATAŞEHİR BULVARI,Ataşehir
A.KÖY HÜKÜMET KONAĞI,Arnavutköy
MERKEZ MAHALLESİ,Arnavutköy
MERKEZ İÖO,Arnavutköy
İSTİKLAL MAH.,Arnavutköy
ÜÇYOL,Arnavutköy
KOZLAR,Arnavutköy
AYAZMA,Arnavutköy
HARAÇÇI BELEDİYE,Arnavutköy
SAZLIBOSNA YOLU,Arnavutköy
SAZLIBOSNA YOLU,Arnavutköy
KARLIBAYIR MER. CAMİ,Arnavutköy
BAĞLAR MEYDAN,Arnavutköy
BOYALIK SAPAĞI,Arnavutköy
BOYALIK,Arnavutköy
KÜÇÜKKÖY BEŞYOL,Gaziosmanpaşa
FERHATPAŞA İSMEK,Ataşehir
MALTEPE KÖPRÜSÜ,Maltepe
MALTEPE KÖPRÜSÜ,Maltepe
MALTEPE KÖPRÜSÜ,Maltepe
HUZUREVİ,Maltepe
HUZUREVİ,Maltepe
HUZUREVİ,Maltepe
ESENYOL,Maltepe
ESENYOL,Maltepe
KARTAL KÖPRÜSÜ,Kartal
KAYNARCA,Pendik
TERSANE KÖPRÜSÜ,Pendik
TERSANE KÖPRÜSÜ,Pendik
TERSANE KÖPRÜSÜ,Pendik
GÜZELYALI KÖPRÜSÜ,Pendik
HAT BOYU,Tuzla
ESENYALI SAPAĞI,Pendik
ESENYALI SAPAĞI,Tuzla
ESENYALI SAPAĞI,Pendik
İÇMELER KÖPRÜSÜ,Tuzla
İÇMELER KÖPRÜSÜ,Tuzla
İÇMELER KÖPRÜSÜ,Tuzla
İÇMELER KÖPRÜSÜ,Tuzla
EVREN CADDESİ,Bağcılar
KOCA YUSUF İÖO,Bağcılar
MERKEZ  MAHALLESİ,Bağcılar
FIRIN,Bağcılar
FIRIN,Bağcılar
BARBAROS MAHALLESİ,Bağcılar
BARBAROS MAHALLESİ,Bağcılar
HASTANE,Bahçelievler
KOCASİNAN,Bahçelievler
İTFAİYE OKULU,Bahçelievler
İTFAİYE OKULU,Bahçelievler
ŞENDURAK,Bahçelievler
ÜÇEVLER,Bahçelievler
22.SOKAK,Bahçelievler
ARAPTEPE,Silivri
ARAPTEPE,Silivri
HAMİTBEY,Silivri
HAMİTBEY,Silivri
BİZİMKÖY,Silivri
K.HANE BLD.SARAYI,Kağıthane
NECİP FAZIL CAD.,Sancaktepe
NECİP FAZIL CAD.,Sancaktepe
ÖRNEK KÖY SAPAĞI,Beykoz
ÖRNEK KÖY SAPAĞI,Beykoz
TÜL FABRİKASI,Beykoz
TOYGAR,Beykoz
TOYGAR CAD.,Beykoz
TOYGAR CAMİİ,Beykoz
YENİDOĞAN MEZARLIK,Sancaktepe
ALT GEÇİT,Pendik
BOSTANLIK,Pendik
AZİZ BULVARI,Ümraniye
AZİZ BULVARI,Ümraniye
ŞEHİT BÜNYAMİN OT,Maltepe
SEÇKİN SOKAK,Sancaktepe
ADAY SOKAK,Sancaktepe
KANLIKAVAK YOLU,Sarıyer
KANLIKAVAK YOLU,Sarıyer
ULUBATLI HASAN CAMİ,Eyüpsultan
KANLIKAVAK,Sarıyer
LİSE,Sarıyer
ATATÜRK CADDESİ,Sultanbeyli
ERDEM SOKAK,Pendik
ERDEM SOKAK,Pendik
CUMHURİYET SİTESİ,Pendik
VELİ BABA,Pendik
ŞEKERPINAR CADDESİ,Tuzla
ŞEKERPINAR CADDESİ,Tuzla
ÖMERLİ ÇAYIRI,Çekmeköy
ÖMERLİ ÇAYIRI,Çekmeköy
İMKB AND.MSLK.LİS.,Çekmeköy
İMKB AND.MSLK.LİS.,Çekmeköy
ÜVEZLİ SAPAĞI,Şile
FERAH MAHALLESİ,Üsküdar
GAZİLER,Üsküdar
BAĞLARİÇİ,Üsküdar
PAZAR YERİ,Sancaktepe
DERE YOLU,Sancaktepe
ÇAMLIK TEPE,Sancaktepe
VİLLALAR,Sancaktepe
S. MEHMET PAŞA İÖOKL,Üsküdar
S. MEHMET PAŞA İÖOKL,Üsküdar
YAVUZTÜRK SAPAĞI,Üsküdar
Beşiktaş Meydan Minibüs Durağı,Beşiktaş
"Bakırköy Ana Durak (Zuhuratbaba Cad., Mezarlık Yanı)",Bakırköy
Ferah Sokak (2 Araç),Gaziosmanpaşa
Ayazma Cd.(Yavuz Selim Parkı Yanı -1 Araç),Kağıthane
Marmara Üniversitesi Anadoluhisarı Yerleşkesi Cuma Yolu Caddesi ve Göksu Caddesi kesişimi (1 Ar,Beykoz
Elmalıkent Mah. İnönü Cad.-Özyavuz Cad.Kesişimi (2 Araç),Üsküdar
Kurfallı Tren İstasyonu,Silivri
Başakşehir ÇSŞH (2 Araç),Başakşehir
Halkalı Merkez Mahmutbey Caddesi 2.Okul Sk. (Mehmet Akif Cami Önü-1Araç),Küçükçekmece
Gölevler G-748.Sokak (2 Araç),Avcılar
Küçükköy Cd.-Sipahiler Cd. Kesişimi (1 araç),Gaziosmanpaşa
Yavuz Selim Cd. Depolama Alanı (Yeniköy Konakları önü),Eyüpsultan
"42 Evler (Fetih Caddesi, No:99 Karşısı)",Esenler
KOCASİNAN,Bahçelievler
Marmara Forum AVM Yanı,Bakırköy
Akkız Sokak (2 araç),Başakşehir
Aydınevler Sanayi Cad. (3 Araç),Maltepe
202 Sk.( Kocasinan Bağcılar Yolu Cad. İle 202. Sk. Kesişimi),Bahçelievler
Mahmutbey (Peyami Safa Cad. ile 2510. Sk. Kesişimi ),Bağcılar
"Ziya Gökalp,İkitelli OSB Mevki (2717.Sk) (2 araç)",Başakşehir
DEREAĞZI MAHALLESİ,Beylikdüzü
FERİT SELİM CADDESİ,Bahçelievler
BAYRAMTEPE ÜSTGEÇİT,Başakşehir
FERHATPAŞA,Esenler
MÜH.ŞEVKET SOK,Sarıyer
BARBAROS OKUL,Sarıyer
MEVLANA CAMİ,Sultanbeyli
MESCİD SOKAK,Sultanbeyli
ORTAÇEŞME,Beykoz
ÇİFTE ÇINARLAR,Beykoz
CEVİZLİ BAHÇE,Beykoz
YENİ MAHALLE,Beykoz
İSMAİL ÖZSEÇKİN İÖO.,Beykoz
AKBABA,Beykoz
ÇEŞME,Üsküdar
SAĞLIK OCAĞI,Üsküdar
DEREİÇİ,Üsküdar
FERAH CADDESİ,Üsküdar
F.MAH.YENİ CAMİ,Üsküdar
KARACAOĞLAN SOKAK,Sultanbeyli
YEDPA BULVARI,Ataşehir
KOÇ LİSESİ,Tuzla
ÇAMLIK,Tuzla
ÇAMLIK,Tuzla
ÇAMLIK,Kartal
ÇAMLIK,Kartal
ÇAMLIK,Kartal
KÜÇÜK KORU CAMİİ,Çekmeköy
YEŞİLTEPE,Çekmeköy
KÜLTÜR SOKAK,Çekmeköy
KÜLTÜR SOKAK,Çekmeköy
ÇANKAYA SOKAK,Üsküdar
SAMANDIRA KÜLTÜR MER,Sancaktepe
SEMERKAND,Sancaktepe
RÜMEYSA SOKAK,Sultanbeyli
ÜMRANİYE SGK.,Ümraniye
UBEYLİ KÖYÜ,Şile
