Proje Adı,İstasyon Adı,İlçe
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Kavakpınar,Pendik
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Aydıntepe,Pendik
M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İçmeler,Tuzla
M4 Kadıköy - SGH Metro Hattı,Sabiha Gökçen,Pendik
M4 Kadıköy - SGH Metro Hattı,Kurtköy,Pendik
M4 Kadıköy - SGH Metro Hattı,Yayalar - Şeyhli,Pendik
M4 Kadıköy - SGH Metro Hattı,Fevzi Çakmak - Hastane,Pendik
M8 Bostancı - Dudullu Metro Hattı,İmes,Ümraniye
M8 Bostancı - Dudullu Metro Hattı,Parseller,Ümraniye
M8 Bostancı - Dudullu Metro Hattı,Huzur,Ümraniye
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Haznedar,Bahçelievler
M1B (U2) Kirazlı - Halkalı Metro Hattı,Malazgirt,Bahçelievler
M1B (U2) Kirazlı - Halkalı Metro Hattı,Barbaros,Bağcılar
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Molla Gürani,Bağcılar
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Yıldıztepe,Bağcılar
M1B (U2) Kirazlı - Halkalı Metro Hattı,Fatih,Küçükçekmece
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İncirli,Bakırköy
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Özgürlük Meydanı,Bakırköy
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Küçükpazar,Fatih
M9 Bahariye - Olimpiyat Metro Hattı,Masko,Başakşehir
M9 (U1) Ataköy -  Bahariye Hattı,15 Temmuz,Bağcılar
M9 (U1) Ataköy -  Bahariye Hattı,Çobançeşme - Kuyumcukent,Bahçelievler
M9 (U1) Ataköy -  Bahariye Hattı,Halkalı Caddesi,Küçükçekmece
M9 (U1) Ataköy -  Bahariye Hattı,Doğu Sanayi,Bahçelievler
M9 (U1) Ataköy -  Bahariye Hattı,Mimar Sinan,Bağcılar
M9 (U1) Ataköy -  Bahariye Hattı,Yenibosna,Bakırköy
M9 (U1) Ataköy -  Bahariye Hattı,Ataköy,Bakırköy
M9 (U1) Ataköy -  Bahariye Hattı,İhlas Yuva,Bahçelievler
M8 Bostancı - Dudullu Metro Hattı,İçerenköy,Ataşehir
M8 Bostancı - Dudullu Metro Hattı,Kozyatağı,Ataşehir
M8 Bostancı - Dudullu Metro Hattı,Ayşe Kadın,Kadıköy
M8 Bostancı - Dudullu Metro Hattı,Bostancı,Maltepe
M8 Bostancı - Dudullu Metro Hattı,Emin Ali Paşa,Kadıköy
M8 Bostancı - Dudullu Metro Hattı,Kayışdağı,Ataşehir
M8 Bostancı - Dudullu Metro Hattı,Dudullu,Ümraniye
M8 Bostancı - Dudullu Metro Hattı,Küçükbakkalköy,Ataşehir
M8 Bostancı - Dudullu Metro Hattı,Modoko - Keyap,Ümraniye
M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Kabataş,Beyoğlu
M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Atatürk Mahallesi,Küçükçekmece
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Ispartakule,Avcılar
M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Hastane,Küçükçekmece
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Tahtakale,Avcılar
M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Toplu Konut,Küçükçekmece
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Bahçeşehir,Başakşehir
M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Tema Park,Küçükçekmece
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Ardıçlı,Esenyurt
M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Esenkent,Esenyurt
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Bakırköy İDO,Bakırköy
